nombre;slug;artista_id;created_by_id;updated_by_id;foto;created_at;updated_at
Yo te prometo;Yo-te-prometo;1;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Reckless Love;Reckless-Love;2;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Llegó Navidad;Llego-Navidad;3;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Singles;Singles;3;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Cosas Poderosas;Cosas-Poderosas;3;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Eres Mi Pasión;Eres-Mi-Pasion;3;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Mi Confianza Está En Ti;Mi-Confianza-Esta-En-Ti;3;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Más Fuerte Que Nunca;Mas-Fuerte-Que-Nunca;3;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Admirable;Admirable;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Eres Todopoderoso;Eres-Todopoderoso;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Cantaré De Tu Amor;Cantare-De-Tu-Amor;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Sígueme;Sigueme;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Fortaleza;Fortaleza;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Eres Tú;Eres-Tu;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Tu Amor;Tu-Amor;4;1;1;img/musica/album/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
